appid,game_name,month,avg_players,peak_players,date
730,Counter-Strike 2,July 2012,932.57,1642,2012-07-01
730,Counter-Strike 2,August 2012,15475.39,52261,2012-08-01
730,Counter-Strike 2,September 2012,16000.75,36057,2012-09-01
730,Counter-Strike 2,October 2012,10739.48,20850,2012-10-01
730,Counter-Strike 2,November 2012,14134.1,50533,2012-11-01
730,Counter-Strike 2,December 2012,14079.39,27553,2012-12-01
730,Counter-Strike 2,January 2013,16164.22,31359,2013-01-01
730,Counter-Strike 2,February 2013,17372.73,35238,2013-02-01
730,Counter-Strike 2,March 2013,15959.89,32166,2013-03-01
730,Counter-Strike 2,April 2013,16006.0,31966,2013-04-01
730,Counter-Strike 2,May 2013,18710.34,53379,2013-05-01
730,Counter-Strike 2,June 2013,18119.84,33700,2013-06-01
730,Counter-Strike 2,July 2013,20492.52,42149,2013-07-01
730,Counter-Strike 2,August 2013,25961.85,50511,2013-08-01
730,Counter-Strike 2,September 2013,27678.91,52052,2013-09-01
730,Counter-Strike 2,October 2013,27902.14,53263,2013-10-01
730,Counter-Strike 2,November 2013,29890.52,92279,2013-11-01
730,Counter-Strike 2,December 2013,46788.27,96298,2013-12-01
730,Counter-Strike 2,January 2014,55627.35,102084,2014-01-01
730,Counter-Strike 2,February 2014,59791.37,119764,2014-02-01
730,Counter-Strike 2,March 2014,70143.33,164495,2014-03-01
730,Counter-Strike 2,April 2014,78880.53,142526,2014-04-01
730,Counter-Strike 2,May 2014,84925.02,170137,2014-05-01
730,Counter-Strike 2,June 2014,84163.62,164134,2014-06-01
730,Counter-Strike 2,July 2014,106138.0,193613,2014-07-01
730,Counter-Strike 2,August 2014,133185.79,277192,2014-08-01
730,Counter-Strike 2,September 2014,131034.68,242494,2014-09-01
730,Counter-Strike 2,October 2014,133537.7,260613,2014-10-01
730,Counter-Strike 2,November 2014,147329.07,348018,2014-11-01
730,Counter-Strike 2,December 2014,183589.5,367634,2014-12-01
730,Counter-Strike 2,January 2015,234070.68,443188,2015-01-01
730,Counter-Strike 2,February 2015,239934.64,455508,2015-02-01
730,Counter-Strike 2,March 2015,267996.31,595439,2015-03-01
730,Counter-Strike 2,April 2015,291748.74,568556,2015-04-01
730,Counter-Strike 2,May 2015,317286.29,677701,2015-05-01
730,Counter-Strike 2,June 2015,344156.01,610401,2015-06-01
730,Counter-Strike 2,July 2015,329532.38,541181,2015-07-01
730,Counter-Strike 2,August 2015,357535.24,819902,2015-08-01
730,Counter-Strike 2,September 2015,355905.33,725939,2015-09-01
730,Counter-Strike 2,October 2015,362766.09,732093,2015-10-01
730,Counter-Strike 2,November 2015,360925.88,786707,2015-11-01
730,Counter-Strike 2,December 2015,377447.11,823694,2015-12-01
730,Counter-Strike 2,January 2016,365371.09,667432,2016-01-01
730,Counter-Strike 2,February 2016,376285.02,738969,2016-02-01
730,Counter-Strike 2,March 2016,379426.95,737599,2016-03-01
