appid,game_name,month,avg_players,peak_players
730,Counter-Strike 2,Last 30 Days,914682.7,1427300
730,Counter-Strike 2,July 2025,920069.98,1427300
730,Counter-Strike 2,June 2025,1010123.99,1725815
730,Counter-Strike 2,May 2025,1038596.81,1712216
730,Counter-Strike 2,April 2025,1045701.65,1811827
730,Counter-Strike 2,March 2025,1039662.81,1818368
730,Counter-Strike 2,February 2025,1003570.56,1783434
730,Counter-Strike 2,January 2025,914092.22,1594016
730,Counter-Strike 2,December 2024,913953.36,1740261
730,Counter-Strike 2,November 2024,852164.3,1556938
730,Counter-Strike 2,October 2024,829438.76,1484045
730,Counter-Strike 2,September 2024,836306.66,1473144
730,Counter-Strike 2,August 2024,897337.88,1425958
730,Counter-Strike 2,July 2024,875365.08,1342171
730,Counter-Strike 2,June 2024,947520.53,1510840
730,Counter-Strike 2,May 2024,958207.34,1614925
730,Counter-Strike 2,April 2024,930748.98,1618685
730,Counter-Strike 2,March 2024,885629.69,1521796
730,Counter-Strike 2,February 2024,786630.82,1347519
730,Counter-Strike 2,January 2024,760859.23,1277907
730,Counter-Strike 2,December 2023,770094.8,1248217
730,Counter-Strike 2,November 2023,714511.43,1161043
730,Counter-Strike 2,October 2023,792124.96,1364902
730,Counter-Strike 2,September 2023,976137.99,1556326
730,Counter-Strike 2,August 2023,922152.86,1369511
730,Counter-Strike 2,July 2023,881690.91,1222913
730,Counter-Strike 2,June 2023,1085966.81,1665869
730,Counter-Strike 2,May 2023,1117517.4,1802853
730,Counter-Strike 2,April 2023,918085.6,1510231
730,Counter-Strike 2,March 2023,843474.54,1519457
730,Counter-Strike 2,February 2023,805105.9,1354248
730,Counter-Strike 2,January 2023,726150.29,1199684
730,Counter-Strike 2,December 2022,629325.0,1065079
730,Counter-Strike 2,November 2022,621005.99,1129095
730,Counter-Strike 2,October 2022,608349.53,1078860
730,Counter-Strike 2,September 2022,618776.04,1100366
730,Counter-Strike 2,August 2022,641444.78,1039889
730,Counter-Strike 2,July 2022,594453.07,928329
730,Counter-Strike 2,June 2022,572222.47,906670
730,Counter-Strike 2,May 2022,564961.7,923996
730,Counter-Strike 2,April 2022,568983.16,1013237
730,Counter-Strike 2,March 2022,581489.69,987993
730,Counter-Strike 2,February 2022,634638.4,995163
730,Counter-Strike 2,January 2022,602376.27,991625
730,Counter-Strike 2,December 2021,546614.19,950586
730,Counter-Strike 2,November 2021,548161.67,935593
730,Counter-Strike 2,October 2021,512435.85,864966
730,Counter-Strike 2,September 2021,512350.92,942519
730,Counter-Strike 2,August 2021,512081.96,802544
730,Counter-Strike 2,July 2021,506067.36,763523
730,Counter-Strike 2,June 2021,549347.08,929940
730,Counter-Strike 2,May 2021,659888.89,1087197
